        12                   0,                   1                   0
        12                   0,                   1                   0
        12                   0,           0.0557208                   0
        12                   0,                   1                   0
        12                   0,           0.0557208                   0
        12                   0,           0.0489954                   0
        12                   0,                   1                   0
        12                   0,           0.0557208                   0
        12                   0,           0.0489954                   0
        12                   0,           0.0434531                   0
      12.8                   0,                   1                   0
      12.8                   0,                   1                   0
      12.8                   0,           0.0557208                   0
      12.8                   0,                   1                   0
      12.8                   0,           0.0557208                   0
      12.8                   0,           0.0489954                   0
      12.8                   0,                   1                   0
      12.8                   0,           0.0557208                   0
      12.8                   0,           0.0489954                   0
      12.8                   0,           0.0434531                   0
      13.6                   0,                   1                   0
      13.6                   0,                   1                   0
      13.6                   0,           0.0557208                   0
      13.6                   0,                   1                   0
      13.6                   0,           0.0557208                   0
      13.6                   0,           0.0489954                   0
      13.6                   0,                   1                   0
      13.6                   0,           0.0557208                   0
      13.6                   0,           0.0489954                   0
      13.6                   0,           0.0434531                   0
      14.4                   0,                   1                   0
      14.4                   0,                   1                   0
      14.4                   0,           0.0557208                   0
      14.4                   0,                   1                   0
      14.4                   0,           0.0557208                   0
      14.4                   0,           0.0489954                   0
      14.4                   0,                   1                   0
      14.4                   0,           0.0557208                   0
      14.4                   0,           0.0489954                   0
      14.4                   0,           0.0434531                   0
      15.2                   0,                   1                   0
      15.2                   0,                   1                   0
      15.2                   0,           0.0557208                   0
      15.2                   0,                   1                   0
      15.2                   0,           0.0557208                   0
      15.2                   0,           0.0489954                   0
      15.2                   0,                   1                   0
      15.2                   0,           0.0557208                   0
      15.2                   0,           0.0489954                   0
      15.2                   0,           0.0434531                   0
        16                   0,                   1                   0
        16                   0,                   1                   0
        16                   0,           0.0557208                   0
        16                   0,                   1                   0
        16                   0,           0.0557208                   0
        16                   0,           0.0489954                   0
        16                   0,                   1                   0
        16                   0,           0.0557208                   0
        16                   0,           0.0489954                   0
        16                   0,           0.0434531                   0
      16.8                   0,                   1                   0
      16.8                   0,                   1                   0
      16.8                   0,           0.0557208                   0
      16.8                   0,                   1                   0
      16.8                   0,           0.0557208                   0
      16.8                   0,           0.0489954                   0
      16.8                   0,                   1                   0
      16.8                   0,           0.0557208                   0
      16.8                   0,           0.0489954                   0
      16.8                   0,           0.0434531                   0
      17.6                   0,                   1                   0
      17.6                   0,                   1                   0
      17.6                   0,           0.0557208                   0
      17.6                   0,                   1                   0
      17.6                   0,           0.0557208                   0
      17.6                   0,           0.0489954                   0
      17.6                   0,                   1                   0
      17.6                   0,           0.0557208                   0
      17.6                   0,           0.0489954                   0
      17.6                   0,           0.0434531                   0
      18.4                   0,                   1                   0
      18.4                   0,                   1                   0
      18.4                   0,           0.0557208                   0
      18.4                   0,                   1                   0
      18.4                   0,           0.0557208                   0
      18.4                   0,           0.0489954                   0
      18.4                   0,                   1                   0
      18.4                   0,           0.0557208                   0
      18.4                   0,           0.0489954                   0
      18.4                   0,           0.0434531                   0
      19.2                   0,                   1                   0
      19.2                   0,                   1                   0
      19.2                   0,           0.0557208                   0
      19.2                   0,                   1                   0
      19.2                   0,           0.0557208                   0
      19.2                   0,           0.0489954                   0
      19.2                   0,                   1                   0
      19.2                   0,           0.0557208                   0
      19.2                   0,           0.0489954                   0
      19.2                   0,           0.0434531                   0
        20                   0,                   1                   0
        20                   0,                   1                   0
        20                   0,           0.0557208                   0
        20                   0,                   1                   0
        20                   0,           0.0557208                   0
        20                   0,           0.0489954                   0
        20                   0,                   1                   0
        20                   0,           0.0557208                   0
        20                   0,           0.0489954                   0
        20                   0,           0.0434531                   0
      20.8                   0,                   1                   0
      20.8                   0,                   1                   0
