gamma_n(1200)=0
 t= 6.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 6.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 6.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 6.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0.0054 h_n= 0.000725208
 t= 6.4,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0.246067 h_n= 0.018777
 t= 7.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 7.2,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0.0170667 h_n= 0.00125204
 t= 8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 8,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 8.8,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 9.6,  beta_n(j, r, a, t)=0.0733614, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=0.304544, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=0.134298, gamma_n(t-r, j)=0 h_n= 0
 t= 10.4,  beta_n(j, r, a, t)=1, gamma_n(t-r, j)=0 h_n= 0
